rank,model,params_json,cv_ndcg@100
1,svr,"{""C"": 1.0, ""epsilon"": 0.05}",0.43618389493611165
2,xgboost,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",0.43616821004903067
3,svr,"{""C"": 10.0, ""epsilon"": 0.05}",0.43615429676409556
4,lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",0.43610265942759996
5,xgboost,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 50}",0.4360736569011463
6,xgboost,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",0.43604808874442735
7,xgboost,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",0.4360393376643429
8,ridge,"{""alpha"": 1.0}",0.4360246844964511
9,xgboost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",0.43601692750781995
10,elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",0.4360153262777199
11,elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.43597715534348414
12,xgboost,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 50}",0.4359742827362331
13,lightgbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 50}",0.435933638722631
14,xgboost,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 50}",0.4359027959692046
15,mlp,"{""alpha"": 0.01, ""hidden_layer_sizes"": [16]}",0.4359019437233023
16,xgboost,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}",0.43590000637041726
17,lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200}",0.4358914887532621
18,ridge,"{""alpha"": 0.1}",0.4358861238278364
19,ridge,"{""alpha"": 0.01}",0.43587293587997744
20,ridge,"{""alpha"": 0.001}",0.4358580289549218
21,elasticnet,"{""alpha"": 0.001, ""l1_ratio"": 0.9}",0.4358465040303792
22,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [16]}",0.43581714348385886
23,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [32, 16]}",0.4357886431653535
24,lasso,"{""alpha"": 0.001}",0.4357864461095854
25,svr,"{""C"": 0.1, ""epsilon"": 0.05}",0.4356964099501903
26,lightgbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",0.4356508426764769
27,mlp,"{""alpha"": 0.01, ""hidden_layer_sizes"": [16, 8]}",0.4356482452917062
28,xgboost,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",0.4356055099108893
29,mlp,"{""alpha"": 0.01, ""hidden_layer_sizes"": [32, 16]}",0.4355966402122182
30,lightgbm,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",0.4355898440848452
31,lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",0.43556986068309395
32,knn,"{""n_neighbors"": 20, ""weights"": ""uniform""}",0.4355576291372385
33,lightgbm,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",0.4355509039911668
34,xgboost,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50}",0.43554703605767725
35,xgboost,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 200}",0.43548580965953815
